ns
7334
2125
1875
1500
1250
1291
1166
1125
1083
1167
1167
1292
1166
1084
1125
1250
1084
1166
1125
1084
1083
1167
1167
1375
1167
1167
1125
1083
1084
1083
1042
1083
1084
1041
1042
1083
1042
1083
1042
1083
1125
1083
1083
1042
1042
1041
1084
1292
1083
1083
1084
1083
1084
1041
1084
1083
1084
1041
1084
1041
1042
1042
1083
1042
1041
1042
1083
15791
1583
1083
1084
1083
1042
1042
1041
1041
1042
1042
1041
1084
1083
1083
1084
1041
1042
1042
1041
1042
1083
1042
1042
1000
1083
1000
1042
1083
1084
1500
1083
1125
1083
1084
1125
1041
1125
1083
1125
1042
1125
1084
1083
1083
1084
1167
1042
1042
1083
1083
1042
1083
1083
1083
1125
2125
1041
1042
1125
1042
1083
1083
1083
1125
1125
1083
8084
1417
1125
1042
1125
1166
1084
1083
1042
1083
1125
1041
1084
1041
1084
1041
1084
1042
1333
1125
1042
1041
1084
1041
1084
1083
1084
1083
1125
1083
1208
1125
1125
1084
1250
1125
1209
1125
1084
1041
1209
1083
1125
1042
1125
1083
1084
1125
1167
1125
1125
1125
1167
1125
1125
1084
1083
1083
1125
1125
1125
1083
1167
2167
1083
1167
1083
6584
1416
1042
1083
1166
1084
1083
1083
1042
1083
1084
1083
1125
1125
1125
1166
1125
1084
1042
1083
1083
1125
1125
1125
1083
1083
1084
1083
1084
1083
1083
1084
1083
1083
1084
1125
1041
1084
1083
1083
1083
1084
1083
1083
1083
1125
1041
1125
1042
1125
2125
1125
1125
1083
1042
1167
1041
1084
1125
1167
1125
1125
1167
1167
1083
5625
1292
1125
1167
1125
1083
1084
1083
1125
1084
1125
1084
1125
1125
1125
1125
1167
1125
1083
1084
1083
1083
1084
1125
1125
1083
1084
1125
1083
1084
1125
1041
1125
1083
1125
1084
1083
1084
1125
1083
1084
1083
1125
1084
1083
1042
1083
1083
1125
1084
1125
1125
1125
1125
1125
1083
1125
1125
1125
1125
1125
1084
1167
1083
1125
6417
1375
1041
5208
1083
1125
1167
1209
1083
1125
1125
1125
1084
1208
1125
1125
1125
1167
1125
1167
1125
1167
1125
1167
1125
1167
1125
1167
1125
1125
1125
1125
1125
1167
1250
1208
1125
1125
1125
1125
1083
1125
1125
1167
1167
1250
1125
1125
2000
1167
1166
1208
1083
1167
1125
1166
1125
1250
1250
1167
1167
1166
1084
1167
1167
6083
4083
1167
1125
1167
1083
1167
1125
1125
1125
1167
1125
1125
1125
1167
1083
1125
1125
1125
1167
1125
1083
1166
1125
1083
1125
1125
1083
1167
1167
1292
1125
1167
1125
1125
1083
1125
1083
1125
1084
1125
1125
1125
1083
1125
1084
1125
1083
1083
1833
1167
1083
1083
1042
1083
1084
1083
1083
1084
1125
1083
1208
1083
1083
1125
6666
1333
1084
1125
1041
1084
1083
1083
1125
1125
1125
1167
1083
1084
1083
1083
1084
1166
1125
1125
1083
1084
1083
1083
1084
1125
1083
1125
1084
1083
1125
1125
1125
1125
1125
1083
1083
1125
3625
1167
458
1625
542
2250
2458
3125
1458
542
500
1209
1500
1541
1416
541
416
1167
500
1041
1167
2208
1125
458
2167
458
1208
1125
1166
417
417
1125
2292
1916
417
2792
1916
2417
2083
10625
1334
2250
500
2917
458
458
1000
1250
1958
2500
1917
458
1000
1459
416
1041
1459
417
1416
2041
1500
2334
1958
1000
459
1042
1042
1542
2375
2708
1542
1875
417
417
375
1500
1833
1542
375
416
1875
459
1125
2250
1000
1875
1917
2333
1750
1458
417
1917
458
2750
1959
1916
459
458
2333
459
458
1917
417
1125
1166
2334
1500
1416
459
375
458
1166
1875
500
1959
416
1417
1875
459
1958
1458
2584
1916
1417
1125
417
500
1167
417
500
1958
417
1791
2500
1250
8834
1833
1875
1000
1417
1333
459
1125
1333
958
1042
1041
958
1042
959
1958
417
2417
1917
1417
1750
1750
2208
1750
2250
2208
8917
584
1875
2250
458
417
417
1458
1833
1000
1833
958
1917
625
375
2292
458
1834
1125
416
2333
917
417
1375
1125
1083
375
1416
1042
1459
2208
458
1792
1167
958
2209
1125
1875
1292
375
2292
417
416
375
1375
417
417
1042
417
1041
2250
1250
1417
1125
208
208
417
1833
375
375
1375
458
375
958
1083
1833
209
6500
2584
1125
1125
458
459
417
1083
417
1458
1792
1833
1792
417
416
416
1084
1833
1833
208
167
292
2208
459
2250
2625
458
417
1375
1167
1042
1125
417
375
375
1083
1875
1875
1417
375
1083
1208
1417
1750
417
1041
1417
2250
459
1833
1084
417
375
2208
1083
2208
1792
1416
416
1791
583
4708
959
1791
3917
209
375
1416
2625
1000
1792
1791
3583
1792
2208
1834
1750
417
2708
416
1834
1375
1833
1125
1875
1083
417
5000
583
1417
2333
1416
3042
458
458
1500
5959
1208
6333
500
417
1000
2334
1917
208
1458
958
959
1875
458
1416
1834
958
333
1125
1833
459
250
1875
416
1084
416
1083
459
416
1083
1792
1833
1292
1417
1834
458
375
208
1083
1791
1084
958
333
417
1833
417
417
1416
1375
1083
458
375
375
1000
1792
416
1084
417
2208
1417
375
416
1792
1875
1792
1416
4916
3042
458
375
1083
1917
1458
1500
1041
417
1959
2208
208
1416
1375
1208
417
1833
1083
1083
1750
208
1125
375
375
1417
1084
1125
1792
458
1375
1792
208
1125
5958
3125
1917
2792
416
417
209
1875
1416
1084
417
2208
417
417
1417
416
1792
292
1417
959
1875
1833
2042
1833
1375
458
417
1125
417
1833
875
1375
1584
416
2000
2250
1458
459
208
458
2250
459
1833
1792
1125
916
2209
917
1875
2250
1792
292
1833
2250
1875
1416
458
417
416
375
417
1125
167
2292
416
417
250
1833
1375
1792
417
208
2625
958
1792
1875
500
334
6458
2084
500
458
459
1166
1459
2333
375
375
291
1166
1417
1792
1833
1417
417
1000
417
1125
416
1917
1875
250
3667
2292
458
1167
292
7542
2167
1500
416
208
1833
1416
2792
1833
459
1416
1833
1083
1084
167
458
959
416
1833
459
375
1125
1125
2250
1125
1375
1791
1084
250
375
458
417
1417
4917
208
2375
459
416
1000
375
1833
1875
167
1375
208
1792
3167
1833
1834
1375
958
250
375
1458
1166
1916
1125
1375
2250
1875
542
1000
417
3125
458
1417
416
2792
459
1333
375
1875
1917
209
208
1166
875
416
1833
417
458
416
2250
417
209
1125
1083
459
458
1875
417
1458
1417
334
1791
1459
208
375
2709
458
417
209
2125
1416
1834
500
459
417
1458
1167
458
417
3208
417
1458
166
208
375
6209
250
1667
417
1125
375
2250
1417
167
1833
1875
1000
375
375
1416
417
1792
375
1833
1084
1791
458
2292
1459
6083
1208
375
1875
417
1833
1125
1250
459
167
1875
1083
916
1792
417
1042
458
417
417
416
2250
375
417
2250
2250
1417
1375
417
1375
416
375
417
208
1125
459
2916
459
416
416
2709
416
416
416
417
1792
1125
1875
209
1875
1417
416
1375
500
2250
416
1375
459
1375
458
417
375
1833
417
416
375
416
2666
1792
2292
417
1417
1375
375
375
1084
542
416
2042
1125
1834
416
2292
1417
167
333
500
458
2334
416
1417
417
1417
1417
375
1375
1791
459
375
1833
1166
417
1875
3334
5833
1292
1083
458
500
458
2416
375
375
1417
2458
1459
458
1875
1417
416
375
417
1375
417
1125
1833
459
417
375
1917
2708
1417
1791
1875
458
1000
1417
209
1375
375
1833
458
1834
1417
1875
459
417
2750
2500
375
417
1917
1958
1875
333
1292
1125
250
458
1875
250
416
1792
417
417
1125
167
1875
1167
1833
500
417
375
1458
1417
1417
1792
1833
1458
1250
291
2292
209
416
7792
2083
1875
417
1458
1375
1083
375
459
500
1917
1416
1833
2000
1959
1875
417
2291
2250
500
1000
416
375
417
1875
1458
417
1959
416
250
2333
1125
375
250
208
